recipe,preptime,cooktime,cuisine,course,diet,ingredients
Homemade Granola Mix Recipe with Oats & Wheat Flakes,10,30,Continental,World Breakfast,High Protein Vegetarian,"1/2 cup Instant Oats (Oatmeal),1/2 cup Wheat Flakes (Cereal),3 tablespoon Pine nuts,3 tablespoons Pumpkin seeds,3 tablespoon Dates - (dried ones) finely chopped,3 tablespoon Dried raspberries,3 tablespoons Raisins - (sultana),3 tablespoon Badam (Almond),3 tablespoon Walnuts,1/2 teaspoon Cinnamon Powder (Dalchini),1/2 teaspoon Nutmeg powder,1/2 tablespoon Vanilla Extract,1/2 teaspoon Sunflower Oil,1 tablespoon Honey"
Baingan Sarson Ka Saag Recipe,10,15,North Indian Recipes,Lunch,Diabetic Friendly,"300 grams Small Brinjal (Baingan / Eggplant) - quartered,200 grams Mustard greens,1 Onion - sliced,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),Salt - to taste,3 tablespoons Mustard oil - for cooking"
Kalyana Veetu Senai Curry Recipe - South Indian Spicy Roasted Yam,30,30,Tamil Nadu,Side Dish,Vegetarian,"250 grams Elephant yam (Suran/Senai/Ratalu) - cut into 1 inch thin pieces,1/2 cup Fresh coconut - grated,1/2 teaspoon Mustard seeds,Curry leaves - few,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Turmeric powder (Haldi),2 teaspoon Sambar Powder,Salt - to taste,Sunflower Oil - as required for frying"
Chettinad Thakkali Sadam Recipe (Chettinad Style Tomato Rice),5,15,Chettinad,Lunch,Gluten Free,"2 cups Rice - cooked,2 Tomatoes - finely chopped,1 Onion - thinly sliced,1 teaspoon Red Chilli powder,1 Green Chilli - slit,Mint Leaves (Pudina) - fistful,Coriander (Dhania) Leaves - small bunch,1 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 sprig Curry leaves,1 tablespoon Ghee,Salt - to taste,1 inch Ginger - roughly chopped,3 to 4 cloves Garlic,1 teaspoon Fennel seeds (Saunf)"
Thai Yellow Coconut Curry Rice Recipe,15,60,Thai,Lunch,Vegetarian,"1 tablespoon Cumin seeds (Jeera),1 tablespoon Cinnamon Stick (Dalchini),1 tablespoon Dry ginger powder,1 tablespoon Turmeric powder (Haldi),2 teaspoons Red Chilli powder,2 teaspoons Coriander (Dhania) Seeds,2 teaspoons Fennel seeds (Saunf),2 teaspoons Whole Black Peppercorns,4 cloves Garlic,1 teaspoon Cardamom (Elaichi) Pods/Seeds,1 teaspoon Mace (Javitri),2 cups Jasmine Rice,1 cup Coconut milk,1/2 teaspoon Salt,2 tablespoons Coconut Oil,1 Onion - diced,1 Red Bell pepper (Capsicum) - sliced thin,10 Gawar Phali (Kothavarangai / Cluster beans) - chopped into half,1 inch Ginger - minced,1 Stalks Lemongrass - fresh minced,2 cloves Garlic - minced,1 tablespoon Lemon juice,1 tablespoon Jaggery,Salt - to taste,Thai basil leaves - for garnish"
 Stuffed Bhindi With Paneer (Recipe In Hindi),10,30,North Indian Recipes,Lunch,Vegetarian,"250 grams Okra (Okra), Oil - As per use, 1 Onion - finely chopped, 1 Tomato - Grated, 1 teaspoon Ginger - Grated, 2 Garlic - Finely chopped, 1/2 teaspoon Cumin seeds, 1/4 Teaspoon asafoetida, salt - as per taste, 1 cup of cottage cheese - pinched, 1/2 teaspoon coriander powder, 1/4 teaspoon mango powder, 1/4 teaspoon red chilli powder, 1/4 teaspoon turmeric powder, salt to taste"
Bael Ka Sharbat Recipe - Wood Apple Squash Drink,10,0,North Indian Recipes,Appetizer,Vegetarian,"1 Wood apple (bael fruit),2 tablespoons Jaggery - or sugar,Black Salt (Kala Namak) - to taste,1 teaspoon Cumin powder (Jeera),1 Lemon juice,Mint Leaves (Pudina) - as required,Water - chilled,Ice cubes"
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,20,15,Indian,Side Dish,Vegetarian,"2 Mango (Ripe) - peeled and cut,1 cup Sugar,1 teaspoon Saffron strands,1/4 teaspoon Cinnamon Powder (Dalchini)"
Karnataka Style Gorai Kai Kara Recipe - Cluster Beans Chutney,5,35,Karnataka,South Indian Breakfast,Diabetic Friendly,"15 Gawar Phali (Kothavarangai / Cluster beans) - chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,5 Green Chillies - chopped,3 tablespoons Roasted Peanuts (Moongphali) - dry roasted,1/4 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),18 grams Tamarind,Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 pinch Asafoetida (hing)"
Kunafa With Mango Cottage Cheese Cream Recipe,10,60,Arab,Dessert,Vegetarian,"500 grams Kataifi dough - ready made,200 grams Butter,2 tablespoons Sugar,1 tablespoon Rose water,2-1/2 cups Sugar,1-1/2 cups Water,1 teaspoon Lemon juice,1 teaspoon Rose water,Saffron strands - few,1 cup Paneer (Homemade Cottage Cheese),1/2 cup Mango Pulp (Puree),1/2 cup Icing Sugar,2 teaspoons Thandai Masala,50 grams Heavy whipping cream,1/2 cup Fresh cream,2 tablespoons Pistachios - crushed,2 tablespoons Dried rose petals"
Royal Bread Gulab Jamun Recipe,10,30,Indian,Dessert,Vegetarian,"24 Whole Wheat Brown Bread,1 cup Milk,150 grams Khoya (Mawa),1 cup Sugar,1/4 cup Badam (Almond) - finely chopped,Ghee - for deep frying"
Safed Achari Baingan Recipe - White Aubergine in pickled spices,20,40,Indian,Dinner,Vegetarian,"500 grams Brinjal (Baingan / Eggplant),1 Onion - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Amchur (Dry Mango Powder),1 Tomato - chopped,Salt - to taste,1 Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Ajwain (Carom seeds),1/4 teaspoon Methi Seeds (Fenugreek Seeds),4-5 Dry Red Chillies,Sunflower Oil - for cooking"
Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),20,20,South Indian Recipes,Side Dish,Diabetic Friendly,"1 Snake gourd (pudulangai) - finely chopped (approximately 1 cup),1 cup Curd (Dahi / Yogurt),1/2 cup Fresh coconut - grated,1 teaspoon Sunflower Oil,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 Dry Red Chilli - broken into pieces,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 teaspoon Sunflower Oil,1/4 teaspoon Asafoetida (hing)"
Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,15,10,Indian,Snack,Vegetarian,"4 Karela (Bitter Gourd/ Pavakkai) - sliced into rounds,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder - (adjust),1 pinch Asafoetida (hing),1/4 cup Gram flour (besan),1 teaspoon Black Salt (Kala Namak) - (adjust to taste),Sunflower Oil - as needed,1/4 cup Hung Curd (Greek Yogurt),1 teaspoon Chaat Masala Powder,1 tablespoon Sweet Chutney (Date & Tamarind),1/2 cup Sev,1/4 cup Aloo Bhujia - (optional),Dates - few,Coriander (Dhania) Leaves - small bunch"
Kasuri Methi and Potato Frying Recipe,20,10,North Indian Recipes,Side Dish,Vegetarian,"2 cups Potatoes (Aloo) - boiled and roughly mashed,1 cup Tomatoes - finely chopped,1-1/2 tablespoon Ginger - grated and ground,2 Green Chillies - slit,2 tablespoons Kasuri Methi (Dried Fenugreek Leaves) - (adjust),1/2 teaspoon Fennel seeds (Saunf),1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 teaspoons Amchur (Dry Mango Powder),1 tablespoon Ghee,Salt - to taste"
Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,250,15,North Indian Recipes,North Indian Breakfast,Diabetic Friendly,"1 cup Moth Sprouts (Matki),1/2 cup White Urad Dal (Split) - soaked for 4 hours,2 Green Chillies,1 teaspoon Fennel seeds (Saunf),1 inch Ginger,1 cup Spinach Leaves (Palak) - coarsely ground,Salt - to taste,1/4 teaspoon Turmeric powder (Haldi),Sunflower Oil - for cooking"
Malabar Kaai Curry Recipe With Nenthra Pazham,60,30,Kerala Recipes,Dessert,Gluten Free,"2 Banana flower (Vazhaipoo) - ripe,1 cup Coconut milk - thick,3 cups Coconut milk - thin,1/2 cup Rice - raw,1/2 cup Chana dal (Bengal Gram Dal),1/4 Onion,2 Cardamom (Elaichi) Pods/Seeds,1 cup Sugar,3/4 teaspoon Salt - and some more for cooking the chana dal,Water - as required"
Assamese Sweet Kordoi Recipe,20,20,Assamese,Snack,Vegetarian,"1 cup Whole Wheat Flour,1/4 teaspoon Salt,1 tablespoon Ghee,1/2 cup Lukewarm Water - (adjust),1/4 cup Caster Sugar - (powdered sugar),1 cup Water,Sunflower Oil - to deep fry"
Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls),10,20,Bihari,Snack,High Protein Vegetarian,"1-1/2 cups Chana dal (Bengal Gram Dal) - soaked for 3-4 hours,1 Onion - finely chopped,3 cloves Garlic,2 Green Chillies - (adjust to taste),1/2 teaspoon Ajwain (Carom seeds),Coriander (Dhania) Leaves - a small bunch,Salt - to taste"
Jodhpuri Aloo Recipe,10,20,Rajasthani,Lunch,Vegetarian,"500 grams Baby Potatoes - boiled,2 Dry Red Chillies,2 teaspoons Sesame seeds (Til seeds),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,2 tablespoons Red Chilli flakes,1 teaspoon Amchur (Dry Mango Powder),2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 tablespoon Sunflower Oil,Salt - to taste"
Vedakkai Thoran Recipe - Kerala Style Bhindi Stir Fry,15,15,Kerala Recipes,Lunch,Diabetic Friendly,"500 grams Bhindi (Lady Finger/Okra) - slit into half and cut into 1 inch pieces,10 Pearl onions (Sambar Onions) - finely chopped,1/4 cup Fresh coconut - grated,2 Green Chillies - finely chopped,1 sprig Curry leaves,1/2 teaspoon Mustard seeds,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking"
Gram and Potato Dry Vegetable Recipe,10,20,North Indian Recipes,Lunch,High Protein Vegetarian,"1 cup Kabuli Chana (White Chickpeas) - boiled,3 Potatoes (Aloo) - boiled,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,1 tablespoon Ginger Garlic Paste,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Cumin seeds (Jeera),4 sprig Coriander (Dhania) Leaves - finely chopped for garnish,1 inch Ginger - cut in juliennes (long thin strips) for garnish,1 tablespoon Sunflower Oil,Salt - for taste"
Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,10,50,Indian,Side Dish,Non Vegeterian,"500 grams Chicken thighs - skinless and boneless,1 Onion - diced,10 cloves Garlic - chopped,1 inch Ginger - grated,6 Tomatoes - desseded,1/3 cup Coriander (Dhania) Leaves - chopped,3 Green Chillies - slit,2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,1 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),3 teaspoons Sunflower Oil,Salt - to taste"
Nellikai Oorugai / Amla Sambhario Recipe (Instant Gooseberry Piccile Recipe),15,0,Indian,Side Dish,Vegetarian,"100 grams Amla (Nellikai/ Gooseberry) - deseeded and finely chopped,1 teaspoon Methi Seeds (Fenugreek Seeds) - roasted and powdered,1 teaspoon Mustard seeds,1 teaspoon Mustard oil,1 teaspoon Red Chilli powder,1/2 teaspoon Asafoetida (hing),Salt - to taste"
Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,10,15,North Indian Recipes,Lunch,Diabetic Friendly,"300 grams Brinjal - chopped, 200 grams mustard, 1 onion - thin and straight cut, 4 cloves garlic - finely chopped, 1 inch ginger - finely chopped, 1/2 tsp cumin, 1 tsp red chili powder, 1 tsp coriander powder, 1 tsp garam masala powder, 1 tsp mango powder, salt - as per taste, 3 tbsp mustard oil - as per use"
Stuffed Arbi Paratha Recipe,10,45,North Indian Recipes,Lunch,Vegetarian,"500 grams Colocasia root (Arbi) - boiled and peeled,1 Green Chilli - chopped,1/2 teaspoon Cumin powder (Jeera),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),Salt - to taste,2 sprig Coriander (Dhania) Leaves,1 cup Whole Wheat Flour,1 tablespoon Sunflower Oil,Salt - a pinch"
Tomato Curry Leaf Chutney Recipe - Tomato Curry Leaf Chutney Recipe,20,20,South Indian Recipes,Side Dish,Vegetarian,"4 tomatoes - finely chopped, 2 sprig curry leaves, 2 green chillies - finely chopped, 1/2 tsp turmeric powder, 1 sprig green coriander - finely chopped, salt - or rock salt, sugar - a pinch"
Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),20,30,Rajasthani,Side Dish,Vegetarian,"500 grams Gunde (bird lime),1 teaspoon Methi Seeds (Fenugreek Seeds),Sunflower Oil - as required,Water - as required,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 teaspoon Fennel seeds (Saunf),1/2 teaspoon Mustard seeds,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),Coriander (Dhania) Leaves - few"
Raw Jackfruit Burrito Recipe,20,45,Mexican,Lunch,Vegetarian,"200 grams Jackfruit Raw (Kathal) - peeled and cut into small junks,1 Onion - sliced,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Paprika powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Rajma (Large Kidney Beans) - soaked and boiled,1 Onion - chopped,1 Tomato - chopped,4 cloves Garlic - chopped,1 tablespoon Cumin powder (Jeera),1 tablespoon Red Chilli powder,1 teaspoon Black pepper powder,1 teaspoon Sugar,Salt - to taste,1/4 cup Cooked rice,1 tablespoon Dried Thyme Leaves,1 tablespoon Paprika powder,Salt - to taste,1/2 Red Bell pepper (Capsicum),1/2 Yellow Bell Pepper (Capsicum),1/2 Green Bell Pepper (Capsicum),1/2 Onion,1 teaspoon Paprika powder,1 teaspoon Cumin powder (Jeera),Salt and Pepper,1 cup Sour cream,1 cup Tomato Salsa,2 Tortillas"
Bengali gram dal recipe,10,30,Bengali Recipes,Lunch,High Protein Vegetarian,"1 cup Chana dal (Bengal Gram Dal),1/2 cup Fresh coconut - cut into small bits,1 tablespoon Ghee,1 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Mustard oil,3 Dry Red Chillies,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves lengthwise,1 inch Ginger - peeled and grated"
Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,20,60,Hyderabadi,Lunch,Vegetarian,"1/2 cup green beans - chopped steam, 1/2 cup carrots - chopped steam, 1 cup cabbage - steamed chopped, 1 cup potatoes - boiled, 6 cloves garlic, 2 inch ginger, 1 onion - chopped Take 2 green chilies, 2 cups rice - wash, make 1 cup tomato-puree, 1 cup curd, 1 inch cinnamon, 4 cardamom, 2 bay leaves, 1 tsp turmeric powder, 1 tsp red chilli powder, 1 Small spoon coriander powder, salt - as per taste, oil - as per use, cut 3 sprigs of mint - 1/2 cup onion - finely chopped and cook till it turns brown."
Chocolate Chip & Raisin Rolls Recipe,25,180,Continental,Snack,Vegetarian,"2 cups Whole Wheat Flour,2 cups All Purpose Flour (Maida),1 cup Milk - luke warm,3 teaspoons Active dry yeast,2 tablespoons Honey - or jaggery or sugar,1 tablespoon Butter - softened,1 teaspoon Salt,1 1/2 cups Water - or as required,1/2 cup Raisins,3/4 cup Chocolate chips - dark and white,3-4 tablespoons Butter - ricotta cheese or cream cheese or soft paneer,Orange Zest (Rind) - of 1 orange,Sugar - to sprinkle on top"
Baby Corn Cigar Recipe,10,40,North Indian Recipes,Appetizer,Vegetarian,"10 Baby corn - to be blanched,3 tablespoons Whole Wheat Bread crumbs - roasted,2 tablespoons Corn flour,1/2 tablespoon Extra Virgin Olive Oil,1 tablespoon Vinegar,1 Potato (Aloo) - boiled and mashed,1 tablespoon Coriander (Dhania) Leaves - chopped,1 teaspoon Pizza seasoning,1/2 teaspoon Garlic - paste,1 tablespoon Red Chilli powder - adjust accordingly,1 tablespoon Green Chilli Paste,1/2 tablespoon Ginger - paste,Salt - to taste,Sunflower Oil - for frying"
Wheat Millet Thepla Recipe - Bajra Masala Paratha,5,40,Gujarati Recipes?,Main Course,Diabetic Friendly,"1 cup Bajra Flour ( Pearl Millet),1/2 cup Whole Wheat Flour,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Black pepper powder,1 inch Ginger - grated,1 Green Chilli - finely chopped,4 sprig Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - as required"
Kaju Badam Ladoo Recipe,15,30,Indian,Dessert,Vegetarian,"1 cup Cashew nuts,1 cup Badam (Almond),1 1//4 cups Sugar,1/2 cup Water,1 teaspoon Cardamom Powder (Elaichi),Ghee - for greasing"
Spaghetti Aglio Olio With Parmesan & Greens Recipe,10,60,Italian Recipes,Dinner,Vegetarian,"400 grams Spaghetti Pasta,200 grams Spinach - or amaranth leaves,4 cloves Garlic - finely chopped (big size),Lemon zest - a pinch,Salt - to taste,3 tablespoons Extra Virgin Olive Oil - adjustable,1/4 cup Parmesan cheese - grated or powdered"
Mushroom Dumpling Recipe With Potatoes (Momos),20,20,Asian,Snack,High Protein Vegetarian,"200 grams Button mushrooms - finely chopped,1 Potato (Aloo) - boiled and mashed,1 Onion - finely chopped,1 Green Chilli - finely chopped,1 inch Ginger - grated,Salt - to taste,1 teaspoon Sunflower Oil,1 cup All Purpose Flour (Maida)"
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,20,20,South Indian Recipes,Side Dish,Vegetarian,"4 Tomatoes - finely chopped,2 sprigs Curry leaves,2 Green Chillies - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 sprig Coriander (Dhania) Leaves - finely chopped,Salt - or rock salt to taste,1 pinch Sugar"
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,20,45,North Indian Recipes,Snack,Vegetarian,"1 cup Whole Wheat Flour,1/2 cup Instant Oats (Oatmeal),1/4 cup Extra Virgin Olive Oil,1 teaspoon Salt,1 teaspoon Ajwain (Carom seeds),Water - to knead,1 cup Green peas (Matar),1 Green Chilli,1 sprig Coriander (Dhania) Leaves,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Chaat Masala Powder,1 teaspoon Red Chilli powder,Salt - to taste"
Masala Carrot And Peas Sandwich Recipe,20,30,Continental,World Breakfast,Vegetarian,"6 Whole Wheat Brown Bread,1 cup Carrot (Gajjar) - grated,1 cup Green peas (Matar) - boiled,5 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1/2 teaspoon Black pepper powder,1 teaspoon Chaat Masala Powder,1/4 cup Cheese - grated,Salt - to taste"
Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,10,15,North Indian Recipes,Side Dish,Vegetarian,"20 small onions, 1 tsp red chili powder, 1 tsp turmeric powder, 1 tsp mango powder, 1 tsp coriander powder, salt - as per taste, 6 cloves garlic - finely chopped, 1 inch ginger - finely chopped, 2 Sprig coriander - finely chopped"
Aam Panna Pani Puri Recipe,15,20,North Indian Recipes,Appetizer,Vegetarian,"18 Pani Puris,2 Potato (Aloo) - boiled,1/4 cup Green Moong Sprouts - 1/4 cup green moong sprouts,Salt - to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Chaat Masala Powder,1/2 teaspoon Red Chilli powder,1 Mango (Raw),10 Mint Leaves (Pudina),1 teaspoon Cumin powder (Jeera),Black Salt (Kala Namak) - to taste,1/2 teaspoon Black pepper powder,2 tablespoons Sugar"
Quinoa Vegetable Upma Recipe,20,30,Fusion,Indian Breakfast,Diabetic Friendly,"1 cup Quinoa,2 cups Water,2 tablespoons Extra Virgin Olive Oil,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),6 Curry leaves,2 Green Chillies - finely chopped,1 Shallot - finely chopped,1 Tomato - finely chopped,1/4 cup Carrot (Gajjar) - finely chopped,1/4 Del Monte Whole Corn Kernels,1/4 Green peas (Matar),Green beans (French Beans) - finely chopped,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,Salt - as needed,Coriander (Dhania) Leaves - few"
Whole Wheat Espresso Chocolate Streusel Cake Recipe,10,75,Continental,Dessert,Vegetarian,"1 cup Apricots - finely chopped,3/4 cup Whole Wheat Flour,3/4 cup Brown Sugar (Demerara Sugar),1/2 cup Butter (unsalted) - cold and cut in a small chunks,1 teaspoon Cinnamon Powder (Dalchini),4 tablespoon Sugar,3/4 cup Pecans - chopped coarsely,1-3/4 cup Whole Wheat Flour,125 grams Butter (unsalted) - at room temperature,1/4 cup Cocoa Powder,225 grams Dark chocolate - coarsely chopped,1 cup Brown Sugar (Demerara Sugar),1/4 cup Coffee Decoction,2 Whole Eggs,2 teaspoon Vanilla Extract,3/4 cup Sour cream,1-1/2 teaspoon Baking powder,3/4 teaspoon Baking soda"
